"species","n_events","n_stations"
"Aves","704","42"
"Bassariscus astutus","3","2"
"Canis latrans","6","4"
"Canis lupus familiaris","4","4"
"Capra hircus","13","6"
"Conepatus leuconotus","79","24"
"Dasypus novemcinctus","1","1"
"Lynx rufus","50","24"
"Mephitis macroura","18","8"
"Nasua narica","4","2"
"Odocoileus virginianus","227","45"
"Pecari tajacu","71","23"
"Persona","117","29"
"Procyon lotor","40","6"
"Puma yagouaroundi","6","2"
"Reptiles","74","10"
"Roedores","66","7"
"Spilogale angustigrons","13","5"
"Sylvilagus floridanus","492","33"
"Urocyon cinereoargenteus","173","31"
