"Station","n_species"
"C1T2P1",5
"C1T2P11",7
"C1T2P21",7
"C1T4P1",1
"C1T4P11",11
"C1T4P21",1
"C1T6P1",5
"C1T6P21",7
"C2T1P1",5
"C2T1P11",5
"C2T1P21",4
"C2T2P1",11
"C2T2P11",2
"C2T2P21",6
"C2T3P1",7
"C2T3P11",2
"C2T3P21",8
"C3T0P1",1
"C3T0P11",1
"C3T0P21",1
"C3T1P1",8
"C3T1P11",2
"C3T1P21",4
"C3T3P11",1
"C3T3P21",5
"C4T1P1",6
"C4T1P11",6
"C4T1P21",4
"C4T2P1",9
"C4T2P11",2
"C4T2P21",10
"C4T3P1",3
"C4T3P11",1
"C4T3P21",4
"C5T1P1",10
"C5T1P11",2
"C5T1P21",11
"C5T2P1",10
"C5T2P11",9
"C5T2P21",1
"C5T3P1",7
"C5T3P11",2
"C5T3P21",6
"C6T1P1",1
"C6T1P11",3
"C6T1P21",4
"C6T2P1",5
"C6T2P11",5
"C6T3P1",1
"C6T3P11",1
"C6T3P21",1
"CB18P10",5
"CB18P11",6
"CB18P12",6
"CB18P13",5
"CB18P14",8
"CB18P15",3
"CB18P26",9
"CB18P27",1
"CB18P28",6
"CB18P29",11
"CB18P30",1
"CB18P32",2
"CB18P9",4
